Artist Name,Artwork Title,Sale Date,Auction House,Low and High Estimates,Realized Price,Currency of Transaction,Website Link
Mark Rothko,Blue Over Red,11/14/2019,Sotheby's,"25,000,000 - 35,000,000","26,461,000",USD,https://www.sothebys.com/en/auctions/ecatalogue/2019/contemporary-art-evening-n10149/lot.26.html
Mark Rothko,Blue Over Red,11/8/2005,Christie's,"4,500,000 - 6,500,000","5,616,000",USD,https://www.christies.com/lotfinder/lot/mark-rothko-blue-over-red-4597398-details.aspx?from=salesummery&intObjectID=4597398
